,City,State
0,Parkville,MO
1,Astoria,OR
2,Cahaba Heights,AL
3,Mickleton,NJ
4,Peoria,IL
5,Martin,TN
6,New York,NY
7,Shavano Park,TX
8,Eagle,ID
9,Riverside,NJ
10,Salt Lake City,UT
11,Chula Vista,CA
12,Sugar Land,TX
13,New York,NY
14,Morton,IL
15,Los Gatos,CA
16,New York,NY
17,Miami,FL
18,Brooklyn,NY
19,Reston,VA
20,Phoenix,AZ
21,Houston,TX
22,Pittsfield,VT
23,Pittsfield,VT
24,Ball Ground,GA
25,Flossmoor,IL
26,Houston,TX
27,Delray Beach,FL
28,Sandy Springs,GA
29,Fort Lauderdale,FL
30,Ankeny,IA
31,Pittsboro,NC
32,New Rochelle,NY
33,Beachwood,OH
34,W Lebanon,NH
35,Woodsboro,MD
36,Memphis,TN
37,Cincinnati,OH
38,Staten Island,NY
39,Farmington,MI
40,Santa Monica,CA
41,Irvine,CA
42,Keller,VA
43,Honolulu,HI
44,Amelia Island,FL
45,Coral Gables,FL
46,Miami,FL
47,Englewood,CO
48,Genoa,IL
49,Parkland,FL
50,San Francisco,CA
51,Keller,VA
52,Clinton,NJ
53,Owensboro,KY
54,Lakewood Village,TX
55,College Park,MD
56,Kailua Kona,HI
57,Redondo Beach,CA
58,Fountain Hls,AZ
59,Mahopac,NY
60,Chicago,IL
61,Rayford,TX
62,Escondido,CA
63,Ashburn,VA
64,Los Angeles,CA
65,Edgewood,WA
66,New York,NY
67,Marietta,GA
68,Houston,TX
69,West Orange,NJ
70,Downey,CA
71,Lafayette,CA
72,Nashville,AR
73,Joppa,MD
74,Joppa,MD
75,Hampton,NJ
76,Louisville,KY
77,Broadlands,VA
78,Los Angeles,CA
79,New York,NY
80,Saint Paul,MN
81,New York,NY
82,Spring Lake Park,MN
83,Seattle,WA
84,Deptford,NJ
85,Alpharetta,GA
86,Washington,DC
87,Washington,DC
88,Athens,GA
89,Hoschton,GA
90,Royal Oak,MI
91,Royal Oak,MI
92,Belmont,MA
93,Old Greenwich,CT
94,Coconut Grove,FL
95,Vienna,VA
96,San Ramon,CA
97,Norfolk,VA
98,Norfolk,VA
99,Rockville,MD
100,Shreveport,LA
101,Shreveport,LA
102,Little Silver,NJ
103,Mid City West,PA
104,Atlanta,GA
105,NYC,NY
106,Brookline,MA
107,Irving,TX
108,Ottawa Hills,OH
109,Portola Valley,CA
110,Kearns,UT
111,Brooklyn,NY
112,Penngrove,CA
113,Lemont,IL
114,San Carlos,CA
115,Chicago,IL
116,Wantagh,NY
117,Fort Oglethorpe,GA
118,Corbin City,NJ
119,Lakeside,CA
120,Margate,FL
121,South Palm Beach,FL
122,New York,NY
123,Anchorage,AK
124,North Brunswick,NJ
125,Jacksonville,FL
